Cell,Longitude,Latitude
G081442,117.66981,35.86697
G081443,117.66981,35.86697
G081451,117.73269,35.84574
G081461,117.725,35.914722
G081462,117.725,35.914722
G081463,117.725,35.914722
G081471,117.77457,35.89258
G081472,117.77457,35.89258
G081473,117.77457,35.89258
G081481,117.64725,35.89341
G081482,117.64725,35.89341
G081483,117.64725,35.89341
G081491,117.56473,35.90851
G081492,117.56473,35.90851
G081493,117.56473,35.90851
G081501,117.6368,35.957989
G081502,117.6368,35.957989
G081503,117.6368,35.957989
G081511,117.76156,35.92448
G081512,117.76156,35.92448
G081513,117.76156,35.92448
G081521,117.588056,36.000556
G081522,117.588056,36.000556
G081523,117.588056,36.000556
G081531,117.605833,35.840278
G081541,117.81424,35.80738
G081542,117.81424,35.80738
G081561,117.9083333,35.96666667
G081581,117.731997,35.953075
G081582,117.731997,35.953075
G081583,117.731997,35.953075
G081591,117.762222,35.907778
G081592,117.762222,35.907778
G081593,117.762222,35.907778
G081601,117.8361111,35.95027778
G081602,117.8361111,35.95027778
G081611,117.6947222,35.79416667
G081631,117.68148,36.00773
G081641,117.69139,35.94324
G081651,117.75412,35.73244
G081661,117.9322222,35.89361111
G081671,117.5052778,36.07333333
G081691,117.6374,35.9785
G081692,117.6374,35.9785
G081693,117.6374,35.9785
G081701,117.8578,35.9829
G081702,117.8578,35.9829
G081703,117.8578,35.9829
G081721,117.66171,35.88104
G081722,117.66171,35.88104
G081723,117.66171,35.88104
G081731,117.75627,35.81576
G081732,117.75627,35.81576
G081733,117.75627,35.81576
G081781,117.9523,35.9251
G081791,117.53531,35.96951
G081792,117.53531,35.96951
G081793,117.53531,35.96951
G081801,117.9623,35.9531
G081811,117.4829,35.9981
G081831,117.79354,35.89463
G081832,117.79354,35.89463
G081833,117.79354,35.89463
G081841,117.77369,35.91138
G081842,117.77369,35.91138
G081843,117.77369,35.91138
G081851,117.76773,35.90664
G081852,117.76773,35.90664
G081853,117.76773,35.90664
G081861,117.68207,35.87351
G081862,117.68207,35.87351
G081863,117.68207,35.87351
G081871,117.6907,35.8465
G081872,117.6907,35.8465
G081873,117.6907,35.8465
G081891,117.74347,35.88078
G081911,117.51072,35.88069
G081941,117.6635,35.8007
G081951,117.57629,35.87954
G081952,117.57629,35.87954
G081953,117.57629,35.87954
G081961,117.7039444,36.0105
G081962,117.7039444,36.0105
G081963,117.7039444,36.0105
G081981,117.66502,35.86212
G081982,117.66502,35.86212
G081983,117.66502,35.86212
G081991,117.6958,35.991
G081992,117.6958,35.991
